ba_ref,prop_ba_rates,occupant_name,postcode,occupation_state,occupation_state_date,occupation_state_reliefs,la_code,rates_code,confidence,slug
51818038004114,4000.0,THE SEC. AWS METALS LTD,S727BD,True,2015-03-20 00:00:00+00:00,,E08000016,51818038004114,100.0,R7JFcTzr2JsfFm5SQ9ZQDMFD
53333007954018,5600.0,THE SEC. TRAVEL KIOSK CO LTD,S357DN,True,2000-04-01 01:00:00+01:00,,E08000016,53333007954018,100.0,Rgdz2d9FP9gktRN3m3TSGVPF
51111274002029,6100.0,10045 BARNSLEY MBC,S702HZ,True,2014-03-17 00:00:00+00:00,,E08000016,51111274002029,100.0,pnp5PzgmfJp5GRd9MvmLQQtC
51111274002028,3600.0,10045 BARNSLEY MBC,S702HZ,True,2014-03-17 00:00:00+00:00,,E08000016,51111274002028,100.0,fcZt9cSsJJFB9M2j92mq7s7D
51111274002031,4100.0,10045 BARNSLEY MBC,S702HZ,True,2017-04-01 01:00:00+01:00,,E08000016,51111274002031,100.0,zzbb79DItMHFBcKm5VzphFzC
51200185060486,920.0,10120 BMBC,S711HX,True,2016-01-29 00:00:00+00:00,,E08000016,51200185060486,100.0,dSZHbCNgnkpZI2RLTRbmt299
50303012000295,27500.0,10207 BMBC,S638ES,True,2016-01-01 00:00:00+00:00,,E08000016,50303012000295,100.0,FpMHkqS2xBs3XBhKvR2LLvL7
50303006022873,1650.0,10222 BARNSLEY MBC,S639NF,True,2000-04-01 01:00:00+01:00,,E08000016,50303006022873,100.0,TRc35k7gz3HPGXTBJXxBr2t2
51818038053527,4750.0,10253 BARNSLEY MBC,S727BB,True,2020-08-31 01:00:00+01:00,,E08000016,51818038053527,100.0,bb27XbnJDDMdIPk9nTqI2P7F
51818038017692,1150.0,10253 BARNSLEY MBC,S727BB,True,2006-04-01 01:00:00+01:00,,E08000016,51818038017692,100.0,cQR3mSXXDrvXDJtxmfI95F5B
51000166052466,1475.0,10261 BARNSLEY MBC,S713BH,True,2013-05-25 01:00:00+01:00,,E08000016,51000166052466,100.0,stIkqHNxIzqxpsdKf9xGLQjB
51000166052433,1025.0,10261 BARNSLEY MBC,S713BH,True,2020-04-30 01:00:00+01:00,,E08000016,51000166052433,100.0,rj3cdsGCNh2gc5DfhVJvf5p9
51200185004119,1975.0,10269 BARNSLEY MBC,S711HH,True,2015-12-01 00:00:00+00:00,,E08000016,51200185004119,100.0,qGKFTfrTkh7FnxDZJCkkZpMB
51200185039141,2375.0,10269 BARNSLEY MBC,S711HH,True,2019-08-19 01:00:00+01:00,,E08000016,51200185039141,100.0,IFDdLITGC9p9SnpnhHFbk3nF
51200185039276,2100.0,10269 BARNSLEY MBC,S711HH,True,2019-03-04 00:00:00+00:00,,E08000016,51200185039276,100.0,DRKmrMFmmgjhCcnLJxkPz7h2
51200185039152,2375.0,10269 BMBC,S711HH,True,2019-07-01 01:00:00+01:00,,E08000016,51200185039152,100.0,5jDsNCZQDr9d5XQsI5JCRg9B
51200185039163,2275.0,10269 BMBC,S711HH,True,2019-10-31 00:00:00+00:00,,E08000016,51200185039163,100.0,2vBNKv7zjgvzDmJxFCJJsdtF
51200185039221,640.0,10269 BMBC,S711HH,True,2020-03-28 00:00:00+00:00,,E08000016,51200185039221,100.0,xNHTCP2HKqkGVmQfGScPGFQD
50606071002213,4400.0,10288 BARNSLEY MBC,S714JS,True,2015-09-01 01:00:00+01:00,,E08000016,50606071002213,100.0,DITdVBFpFGpGItNDrhqH735G
50303178000002,2450.0,10309 BARNSLEY MBC,S638AE,True,2007-02-16 00:00:00+00:00,,E08000016,50303178000002,100.0,dNfQvcLspxSXDj22ZKZvG3sD
50202248913735,1325.0,15TH BARNSLEY (DARTON) SCOUTS,S755HQ,True,2000-04-01 01:00:00+01:00,,E08000016,50202248913735,100.0,xpQzgrG3nxpSLjG9hxbmd975
52121015004272,495.0,20135 BMBC,S728QY,True,2016-01-07 00:00:00+00:00,,E08000016,52121015004272,100.0,bdLhTGD7HtgjbsvVNt2fmx7F
50700174004273,660.0,20135 BMBC,S738HT,True,2016-01-07 00:00:00+00:00,,E08000016,50700174004273,100.0,fPMxTjhDJPr7DJm2vBhxfjFF
51200213004179,495.0,20135 BMBC,S701XY,True,2016-01-07 00:00:00+00:00,,E08000016,51200213004179,100.0,JqNmcN2dLSnzrrGNGIskdBS5
